Thu Nov 01 18:13:19 +0000 2018	@RossLeibbrandt We're so sorry for the delay in our response, Ross. Did you manage to get through to someone? If no… https://t.co/bRdBQxXAO2
Thu Nov 01 18:13:09 +0000 2018	@w_paterson Hi William, thanks for sharing a great photo. A very special Appeal indeed. We look forward to welcoming you on board. ^ Barbara
Thu Nov 01 18:12:06 +0000 2018	@AmIBogan Great to hear it, Bogan. If there's anything else we can help you with, then please let us know! ^Amy
Thu Nov 01 18:12:02 +0000 2018	@British_Airways I did. I was booking for next August but in the course of about an hour your flights hiked up £200.
Thu Nov 01 18:11:57 +0000 2018	RT @BurningTreeLtd: British Airways owner says 185,000 more customers may have been hacked in cyber attack https://t.co/72mAemAx56
Thu Nov 01 18:11:53 +0000 2018	@elfaro3a Hi Janice, this is so disappointing to hear. I can appreciate how frustrating this must've been. Please a… https://t.co/tvWnC72BE2
Thu Nov 01 18:11:49 +0000 2018	RT @PTIofficial: Nawaz Sharif travels in Club Class while British PM travels in Economy Class of British Airways. West is more democratic.…
Thu Nov 01 18:11:36 +0000 2018	RT @skift: To the delight of local tourism authorities, British Airways has been only too happy to fill the gap left by an ever-shrinking S…
Thu Nov 01 18:11:33 +0000 2018	When there are 10000 km between my family in Japan and myself in Luxembourg, I can't help but be excited about the… https://t.co/gsNyFF22Tb
Thu Nov 01 18:11:00 +0000 2018	RT @JetPhotos: A British Airways 777 landing in London. https://t.co/26kGH0Fz2f © Kyle McKinlay https://t.co/tORvyziPKi
Thu Nov 01 18:10:47 +0000 2018	Killing time in Joburg lounge waiting for @British_Airways flight home....
Thu Nov 01 18:10:44 +0000 2018	@tonyhert Hi there, we're very sorry for any disappointment caused. We'll certainly pass your comments to our Catering team. ^ Barbara
Thu Nov 01 18:09:34 +0000 2018	RT @PTIofficial: Nawaz Sharif travels in Club Class while British PM travels in Economy Class of British Airways. West is more democratic.…
Thu Nov 01 18:09:30 +0000 2018	@RickHollandCFRE Hi Rick, please DM us with as much information as possible, including any references, your full na… https://t.co/DBsnpm5mft
Thu Nov 01 18:08:37 +0000 2018	5 months for @AirFranceFR and @British_Airways to prepare the 50th anniversary of #Concorde first flight...😏😏😏… https://t.co/qlTFJR3PZM
Thu Nov 01 18:08:36 +0000 2018	@KIRSTYHOUGH85 We're sorry for our late response, Kirsty, and for the length of time spent on the phone waiting for… https://t.co/KUhwEhj1wf
Thu Nov 01 18:07:53 +0000 2018	@meganbowen21 Please DM us with as much information as possible, including any relevant references, your full name,… https://t.co/CE9ie2DRSf
